Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
angristan,wireguard-install,WireGuard VPN installer for Linux servers,Shell,9155,1439,"angristan, dependabot, lucawen, xlv, robiiinos",9
asdf-vm,asdf-ruby,Ruby plugin for asdf version manager,Shell,692,137,"Stratus3D, HashNuke, fazibear, samford, SeanSith",0
ellisk42,ec,,Slash,508,145,"ellisk42, mathias-sm, mtensor, lorepozo, lio-wong",0
AhMyth,AhMyth-Android-RAT,Android Remote Administration Tool,Smali,4747,1746,"AhMyth, zlocate, stypr, Augustin-FL, evaleries",0
bitnami,charts,Bitnami Helm Charts,Smarty,9519,9469,"javsalgar, juan131, migruiz4, fmulero, bitnami-bot",4
grafana,helm-charts,,Smarty,1770,2322,"zanhsieh, Sheikh-Abubaker, joe-elliott, zalegrala, trevorwhitney",1
cozystack,cozystack,"Free and Open Source PaaS framework for seamless management of virtual machines, managed Kubernetes, and Databases-as-a-Service",Smarty,1274,87,"kvaps, klinch0, lllamnyp, themoriarti, kingdonb",15
grafana,k8s-monitoring-helm,,Smarty,395,126,"petewall, github-actions, skl, dependabot, bentonam",3
VictoriaMetrics,helm-charts,"Helm charts for VictoriaMetrics, VictoriaLogs and ecosystem",Smarty,396,358,"victoriametrics-bot, f41gh7, AndrewChubatiuk, valyala, tenmozes",1
truecharts,public,Community Helm Chart Repository,Smarty,1203,627,"truecharts-admin, stavros-k, PrivatePuffin, renovate, xstar97",2
open-telemetry,opentelemetry-helm-charts,OpenTelemetry Helm Charts,Smarty,444,563,"TylerHelmuth, dmitryax, jaronoff97, puckpuck, Allex1",1
SonarSource,helm-chart-sonarqube,,Smarty,263,398,"rjkernick, carminevassallo, tobias-trabelsi-sonarsource, jCOTINEAU, davividal",0
traefik,traefik-helm-chart,Traefik Proxy Helm Chart,Smarty,1161,776,"mloiseleur, renovate, darkweaver87, mmatur, charlie-haley",2
sidpalas,devops-directive-kubernetes-course,"This is the companion repo for the DevOps Directive ""Kubernetes: Beginner to Pro"" course!",Smarty,1135,452,"sidpalas, accessd",2
CrowdStrike,falcon-helm,Helm Charts for running CrowdStrike Falcon with Kubernetes,Smarty,83,87,"redhatrises, shawndwells, gpontejos, domdepasquale, isimluk",0
