Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
jwasham,coding-interview-university,A complete computer science study plan to become a software engineer.,Unknown Language,315614,78548,"jwasham, Anri-Lombard, avizmarlon, esaucedof, Ilyushin",335
cloudcommunity,Free-Certifications,A curated list of free courses with certifications. Also available at https://free-certifications.com/,Unknown Language,29885,2193,"karentamrazyan, CloudStudyNet, diogomurta, sykezz, oldphones68",66
jujumilk3,leaked-system-prompts,Collection of leaked system prompts,Unknown Language,2519,347,"jujumilk3, accupham, OneTop4458, JakubKontra, jmcph4",61
khangich,machine-learning-interview,"Machine Learning Interviews from FAANG, Snapchat, LinkedIn. I have offers from Snapchat, Coupang, Stitchfix etc. Blog: mlengineer.io.",Unknown Language,10702,1734,"khangich, liuvivian11, aragorn87, cuongvng, vineettanna",38
weeeBox,mobile-system-design,A simple framework for mobile system design interviews,Unknown Language,4666,494,"weeeBox, AndreiVidrasco, husaynhakeem",5
payloadbox,xss-payload-list,🎯 Cross Site Scripting ( XSS ) Vulnerability Payload List,Unknown Language,6977,1782,"sebix, cryptonautical, madneal, Xib3rR4dAr",19
PatrickJS,awesome-cursorrules,📄 A curated list of awesome .cursorrules files,Unknown Language,23022,1759,"PatrickJS, ikhare, tks-00, endolith, martinklepsch",165
TechHutTV,homelab,"Homelab stacks, templates, and more fun resources!",Unknown Language,629,77,"TechHutTV, bobbyb2024, absent42, therumbler, alexneo2003",10
microsoft,sql-server-samples,"Azure Data SQL Samples - Official Microsoft GitHub Repository containing code samples for SQL Server, Azure SQL, Azure Synapse, and Azure SQL Edge",Unknown Language,10399,8993,"uc-msft, jodebrui, JocaPC, anosov1960, dependabot",3
Pr-Mex,vanessa-automation,BDD в 1С,1C Enterprise,525,205,"Pr-Mex, lintest, fenixnow, CryptKat, KrapivinAndrey",0
cpr1c,tools_ui_1c,Универсальные инструменты 1С для управляемых форм,1C Enterprise,826,245,"LevkinSergey, free-archer, Oleg1085, JohnyDeath, VolAll",2
abapGit,abapGit,Git client for ABAP,ABAP,1611,550,"larshp, mbtools, christianguenter2, sbcgua, eduardocopat",0
abap2xlsx,abap2xlsx,Generate your professional Excel spreadsheet from ABAP,ABAP,760,294,"ivanfemia, sandraros, gregorwolf, larshp, AndreaBorgia-Abo",0
easylist,easylist,"EasyList filter subscription (EasyList, EasyPrivacy, EasyList Cookie, Fanboy's Social/Annoyances/Notifications Blocking List)",Adblock Filter List,2436,753,"ryanbr, Khrin, monzta, nitrox, smed79",0
AdguardTeam,FiltersRegistry,Known filters subscriptions transformed for better compatibility with AdGuard,Adblock Filter List,271,55,"github-actions, slavaleleka, Alex-302, zloyden, Mizzick",0
microsoft,ALAppExtensions,Repository for collaboration on Microsoft AL application add-on and localization extensions for Microsoft Dynamics 365 Business Central.,AL,857,645,"JesperSchulz, mazhelez, aholstrup1, darjoo, IhorHandziuk",1
antlr,grammars-v4,Grammars written for ANTLR v4; expectation that the grammars are free of actions.,ANTLR,10551,3751,"teverett, KvanTTT, kaby76, parrt, dependabot",3
scm-ninja,starter-web,Simple starting point website project based upon Initializr,ApacheConf,416,20275,"jasongtaylor, awesomejt",0
jongpie,NebulaLogger,"The most robust observability solution for Salesforce experts. Built 100% natively on the platform, and designed to work seamlessly with Apex, Lightning Components, Flow, OmniStudio, and integrations.",Apex,760,185,"jongpie, jamessimone, TrangOul, JMercie, alanjaouen",1
netwide-assembler,nasm,A cross-platform x86 assembler with an Intel-like syntax,Assembly,2706,347,"cyrillos, victorvde, jtkukunas, martinlindhe, changsbae",4
apple,swift-nio-ssl,"TLS Support for SwiftNIO, based on BoringSSL.",Assembly,400,149,"Lukasa, glbrntt, weissi, dnadoba, rnro",0
kanaka,mal,mal - Make a Lisp,Assembly,10251,2607,"kanaka, bjh21, asarhaddon, dubek, wasamasa",2
openhwgroup,cva6,The CORE-V CVA6 is an Application class 6-stage RISC-V CPU capable of booting Linux,Assembly,2442,750,"zarubaf, JeanRochCoulon, msfschaffner, MikeOpenHWGroup, AyoubJalali",1
giaf,blasfeo,Basic linear algebra subroutines for embedded optimization,Assembly,356,90,"giaf, tmmsartor, roversch, zanellia, RSchwan",0
apple,swift-crypto,Open-source implementation of a substantial portion of the API of Apple CryptoKit suitable for use on Linux platforms.,Assembly,1523,172,"Lukasa, simonjbeaumont, Sajjon, rnro, compnerd",0
espressif,esp-dl,Espressif deep-learning library for AIoT applications,Assembly,687,139,"sun-xiangyu, BlueSkyB, 100312dog, shenxiaozheng, Ginosko-mia",1
ROCm,hipBLASLt,hipBLASLt is a library that provides general matrix-matrix operations with a flexible API and extends functionalities beyond a traditional BLAS library,Assembly,91,117,"KKyang, jichangjichang, aazz44ss, vin-huang, Serge45",0
aws,aws-lc,AWS-LC is a general-purpose cryptographic library maintained by the AWS Cryptography team for AWS and their customers. It іs based on code from the Google BoringSSL project and the OpenSSL project.,Assembly,489,129,"davidben, agl, jargh, samuel40791765, justsmth",0
BLAKE3-team,BLAKE3,the official Rust and C implementations of the BLAKE3 cryptographic hash function,Assembly,5515,377,"oconnor663, sneves, veorq, BurningEnlightenment, mkrupcale",3
riscvarchive,riscv-v-spec,Working draft of the proposed RISC-V V vector extension,Assembly,1020,280,"kasanovic, aswaterman, colinschmidt, drom, a0u",0
briansmith,ring,An experiment.,Assembly,3922,747,"davidben, briansmith, agl, dvorak42, nharper",2
boostorg,context,,Assembly,323,159,"olk, eldiener, grafikrobot, Kojoley, pdimov",0
supranational,blst,Multilingual BLS12-381 signature library,Assembly,511,194,"dot-asm, simonatsn, sean-sn, kirk-baird, hellosupranational",0
bird-sanctuary,bluejay,🐦 Digital ESC firmware for controlling brushless motors in multirotors,Assembly,376,45,"mathiasvr, stylesuxx, damosvil, hyp0dermik-code, saidinesh5",1
chrislgarry,Apollo-11,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.,Assembly,61678,7189,"wopian, chrislgarry, dwiyatci, proudindiv, oldmud0",8
ColorlibHQ,AdminLTE,AdminLTE - Free admin dashboard template based on Bootstrap 5,Astro,44517,18195,"REJack, almasaeed2010, dependabot, danny007in, XhmikosR",4
onwidget,astrowind,⭕️ AstroWind: A free template using Astro 5 and Tailwind CSS. Astro starter theme.,Astro,4478,1282,"prototypa, widgeter, ladunjexa, phanect, ShoGinn",8
satnaing,astro-paper,"A minimal, accessible and SEO-friendly Astro blog theme",Astro,3216,640,"satnaing, dependabot, tanishqmanuja, eerison, 87xie",6
saicaca,fuwari,✨A static blog template built with Astro.,Astro,2182,532,"saicaca, L4Ph, dependabot, wsafight, JoeyC-Dev",7
netlify-templates,astro-platform-starter,"A modern starter based on Astro.js, Tailwind CSS, and Netlify Core Primitives (Edge Functions, Image CDN, Blob Store).",Astro,64,101,"renovate, TomasBankauskas, dependabot, eladroz, serhalp",0
WeijieH,D3keyHelper,D3KeyHelper是一个有图形界面，可自定义配置的暗黑3鼠标宏工具。,AutoHotkey,281,62,"WeijieH, EthanChiao, jiaoyixuan",4
NatroTeam,NatroMacro,A Bee Swarm Simulator macro for Windows,AutoHotkey,1581,167,"zspz, Noobyguy775, djravine, rpertusio, dependabot",5
Bioruebe,UniExtract2,Universal Extractor 2 is a tool to extract files from any type of archive or installer.,AutoIt,3822,356,"Bioruebe, hevesij, SeaHOH, maboroshin, YuriPet",2
rcmaehl,MSEdgeRedirect,"A Tool to Redirect News, Search, Widgets, Weather and More to Your Default Browser",AutoIt,4545,101,"rcmaehl, gnpaone, Macleykun, dependabot, sitiom",3
Flowseal,zapret-discord-youtube,,Batchfile,12287,802,"Flowseal, V3nilla, fridorin, amozebus, burnedoutman",49
enhorse,java-interview,Вопросы и ответы к интервью Java разработчика,Batchfile,5618,2005,"KhArtNJava, enhorse, Cupcake-master, lehaSVV2009, andrii-ashomok",5
RockBlack-VPN,ip-address,"ip address - Youtube, Instagtam, Twitter, Netflix",Batchfile,687,47,"RockBlack-VPN, antonjuice, blacksnake-rus, belomv, alekssamos",5
Azure,azure-cosmos-db-emulator-docker,"This repo serves as hub for managing issues, gathering feedback, and having discussions regarding the Cosmos DB Emulator Docker.",Batchfile,186,48,"arramac, milismsft, TheovanKraay, aliuy, xgerman",0
Systems-Modeling,SysML-v2-Release,The latest incremental release of SysML v2. Start here.,Batchfile,544,73,"seidewitz, manasbajaj",1
CesiumGS,3d-tiles,Specification for streaming massive heterogeneous 3D geospatial datasets 🌎,Batchfile,2247,479,"pjcozzi, lilleyse, javagl, lasalvavida, ggetz",0
Alex313031,Thorium-Win,Chromium fork for Windows named after radioactive element No. 90; Windows builds of https://github.com/Alex313031/Thorium,Batchfile,1838,42,"Alex313031, eltociear",1
lstprjct,IDM-Activation-Script,IDM Activation & Trail Reset Script,Batchfile,12004,1700,"lstprjct, LazyDevv, sirpeealot",17
redis-windows,redis-windows,Redis 6.0.20 6.2.14 7.0.15 7.2.4 7.4.0 for Windows,Batchfile,2023,188,"yes8080, jmos5156, mokecc, shogun-kub",6
PaperMC,Folia,Fork of Paper which adds regionised multithreading to the dedicated server.,Batchfile,3829,505,"Spottedleaf, jpenilla, DenWav, kennytv, MiniDigger",2
acl-org,acl-style-files,Official style files for papers submitted to venues of the Association for Computational Linguistics,BibTeX Style,1038,224,"mjpost, davidweichiang, bethard, danielgildea, LSinev",3
Azure,azure-quickstart-templates,Azure Quickstart Templates,Bicep,14362,16270,"bmoore-msft, akhilthomas011, alex-frankel, MCKLMT, marcvaneijk",5
Azure,bicep-registry-modules,Bicep registry modules,Bicep,586,436,"AlexanderSehr, eriqua, krbar, ChrisSidebotham, shenglol",2
Azure-Samples,get-started-with-ai-agents,Basic sample for deploying AI agents web app with Azure AI Foundry and SDKs,Bicep,41,37,"howieleung, nick863, sophia-ramsey, jhakulin, M-Hietala",2
github-copilot-resources,copilot-metrics-viewer,Tool to visualize the Copilot metrics provided via the Copilot Business Metrics API (current in public beta),Bicep,436,218,"martedesco, karpikpl, DevOps-zhuang, dependabot, jycr",1
Azure-Samples,msdocs-nodejs-mongodb-azure-sample-app,A sample Express.js app using a MongoDB database to show how to host Node.js app in Azure App service using Azure Cosmos DB,Bicep,33,836,"DavidCBerry13, microsoftopensource, dfberry, cephalin, diberry",0
Azure,bicep,Bicep is a declarative language for describing and deploying Azure resources,Bicep,3349,776,"dependabot, anthony-c-martin, StephenWeatherford, majastrz, shenglol",0
microsoft,azure-container-apps,Roadmap and issues for Azure Container Apps,Bicep,399,35,"kendallroden, ruslany, torosent, dariagrigoriu, microsoftopensource",0
Azure,ALZ-Bicep,This repository contains the Azure Landing Zones (ALZ) Bicep modules that help deliver and deploy the Azure Landing Zone conceptual architecture in a modular approach. https://aka.ms/alz/docs,Bicep,802,534,"jtracey93, oZakari, github-actions, dependabot, jfaurskov",1
Azure,GPT-RAG,"Sharing the learning along the way we been gathering to enable Azure OpenAI at enterprise scale in a secure manner. GPT-RAG core is a Retrieval-Augmented Generation pattern running in Azure, using Azure Cognitive Search for retrieval and Azure OpenAI large language models to power ChatGPT-style and Q&A experiences.",Bicep,994,227,"placerda, gbecerra1982, Martin-Sciarrillo, vladborys, vhvb1989",1
SonarSource,sonar-scanning-examples,Shows how to use the Scanners,Bicep,907,2270,"joe-tingsanchali-sonarsource, okorach, jeff-zapotoczny-sonarsource, sylvain-combe-sonarsource, francoismora",0
Azure-Samples,get-started-with-ai-chat,Basic sample for deploying chat web apps with Azure AI Foundry and SDKs,Bicep,61,85,"nick863, howieleung, qubitron, pamelafox, M-Hietala",0
microsoft,build-your-first-agent-with-azure-ai-agent-service-workshop,Build your first agent with Azure AI Agent Service Workshop,Bicep,192,293,"gloveboxes, github-actions, aaronpowell, revodavid, marlenezw",5
w3c,csswg-drafts,CSS Working Group Editor Drafts,Bikeshed,4636,707,"fantasai, tabatkins, bert-github, svgeesus, frivoal",2
gpuweb,gpuweb,Where the GPU for the Web work happens!,Bikeshed,4990,326,"github-actions, kainino0x, dneto0, toji, alan-baker",3
openembedded,openembedded-core,The official Git repository is at https://git.openembedded.org/openembedded-core/.,BitBake,389,515,"rpurdie, rossburton, kanavin, kraj, wangmingyu84",1
openembedded,meta-openembedded,,BitBake,434,747,"kraj, wangmingyu84, shr-project, schnitzeltony, leon-anavi",1
rauc,meta-rauc,"Yocto/Open Embedded meta layer for RAUC, the embedded Linux update framework",BitBake,181,97,"ejoerns, jluebbe, OnkelUlla, mschwan-phytec, mnhu",1
Xilinx,meta-xilinx,Collection of Yocto Project layers to enable AMD Xilinx products,BitBake,154,137,"mhatle, nathanrossi, grsandeep85, ckalluri73, kedareswararao",0
OE4T,meta-tegra,"BSP layer for NVIDIA Jetson platforms, based on L4T",BitBake,459,247,"madisongh, kekiefer, ichergui, dwalkes, kraj",0
openbmc,openbmc,OpenBMC Distribution,BitBake,2113,958,"williamspatrick, geissonator, bradbishop, shenki, wak-google",1
rust-embedded,meta-rust-bin,Yocto layer for installing Rust toolchain from pre-built binaries,BitBake,116,73,"posborne, nastevens, eldruin, otavio, eric-seppanen",0
aws4embeddedlinux,meta-aws,The metadata layer for baking AWS device software to Embedded Linux distributions built by the Yocto Project build system.,BitBake,131,87,"aws-iot-embedded-linux-ci, thomas-roos, rpcme, nateglims, nenadilic84",0
balena-os,balena-jetson,,BitBake,47,24,"acostach, balena-ci, flowzone-app, balena-renovate",0
balena-os,balena-allwinner,,BitBake,20,14,"balena-renovate, flowzone-app, balena-ci, renovate-bot",0
kraj,meta-openwrt,OE/Yocto metadata layer for OpenWRT,BitBake,113,80,"danielfdickinson, kraj, troth, fbertux, nquest",0
Freescale,meta-freescale-3rdparty,OpenEmbedded/Yocto BSP layer for Freescale's ARM based platforms,BitBake,96,531,"otavio, fbertux, MaxKrummenacher, ericnelsonaz, iancoolidge89",0
meta-rust,meta-rust,OpenEmbedded/Yocto layer for Rust and Cargo,BitBake,222,131,"codyps, cardoe, srwalter, derekstraka, janderholm",0
Freescale,meta-freescale,Layer containing NXP hardware support metadata,BitBake,183,270,"otavio, thochstein, guochunrong, zandrey, ting-liu",0
krayin,laravel-crm,Free & Opensource Laravel CRM solution for SMEs and Enterprises for complete customer lifecycle management.,Blade,14114,1012,"jitendra-webkul, suraj-webkul, devansh-webkul, shivendra-webkul, amit-webkul",20
laravel,laravel,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things.",Blade,80666,24319,"taylorotwell, driesvints, GrahamCampbell, daylerees, franzliedke",10
lsky-org,lsky-pro,☁️兰空图床(Lsky Pro) - Your photo album on the cloud.,Blade,4366,627,"0xxb, dependabot, zhendery, ctaoist, qyhfrank",4
laravel,livewire-starter-kit,,Blade,291,110,"taylorotwell, tnylea, Rattone, realpoke, 3adeling",2
livewire,flux,The official Livewire UI component library,Blade,694,66,"calebporzio, joshhanley, bensherred, SRWieZ, idealerror",1
u-boot,u-boot,"""Das U-Boot"" Source Tree",C,4391,3868,"sjg20, trini, xypron, wdenx, masahir0y",7
redcanaryco,atomic-red-team,Small and highly portable detection tests based on MITRE's ATT&CK.,C,10469,2904,"clr2of8, MHaggis, cyberbuff, patel-bhavin, josehelps",8
flipperdevices,flipperzero-firmware,Flipper Zero firmware source code,C,14099,2947,"skotopes, hedger, DrZlo13, gornekich, glitchcore",22
coturn,coturn,coturn TURN server project,C,12229,2105,"misi, tyranron, mom040267, eakraly, ggarber",8
eclipse-mosquitto,mosquitto,Eclipse Mosquitto - An open source MQTT broker,C,9640,2471,"ralight, karlp, PierreF, abiliojr, Hallot",7
FreeRDP,FreeRDP,FreeRDP is a free remote desktop protocol library and clients,C,11645,15047,"akallabeth, awakecoding, bmiklautz, hardening, mfleisz",21
DarkFlippers,unleashed-firmware,Flipper Zero Unleashed Firmware,C,19098,1578,"xMasterX, skotopes, hedger, gornekich, DrZlo13",11
curl,curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,37686,6674,"bagder, yangtse, captain-caveman2k, vszakats, dfandrich",11
OpenMathLib,OpenBLAS,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.,C,6704,1552,"martin-frbg, xianyi, wernsaar, hpanderson, wjc404",9
RediSearch,RediSearch,"A query and indexing engine for Redis, providing secondary indexing, full-text search, vector similarity search and aggregations.",C,5754,542,"dvirsky, mnunberg, ashtul, MeirShpilraien, rafie",2
mcu-tools,mcuboot,Secure boot for 32-bit Microcontrollers!,C,1483,746,"utzig, d3zd3z, nordicjm, nvlsianpu, de-nordic",1
NVIDIA,cuda-samples,Samples for CUDA Developers which demonstrates features in CUDA Toolkit,C,7335,2011,"rwarmstr, XSShawnZeng, mdoijade, Ru7w1k, jnbntz",8
confluentinc,librdkafka,The Apache Kafka C/C++ library,C,579,3192,"edenhill, emasab, rondagostino, paravoid, mhowlett",2
eadmaster,pcrown,Princess Crown Translation GPL Edition,C,177,9,"eadmaster, MiYakuGaming, cyberwarriorx",6
linux-can,can-utils,Linux-CAN / SocketCAN user space applications,C,2573,738,"marckleinebudde, hartkopp, olerem, yegorich, gerasiov",3
zephyrproject-rtos,zephyr,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",C,11942,7259,"nashif, jukkar, galak, gmarull, cvinayak",4
erincatto,box2d,Box2D is a 2D physics engine for games,C,8740,1617,"erincatto, wub, sbeca, flyover, zammitjames",2
debevv,nanoMODBUS,A compact MODBUS RTU/TCP C library for embedded/microcontrollers,C,464,104,"debevv, donghoonpark, jonathangjertsen, malem-robotiq, arhiv6",9
Mbed-TLS,mbedtls,"An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases.",C,5833,2679,"gilles-peskine-arm, mpg, daverodgman, ronald-cron-arm, valeriosetti",3
libgit2,libgit2,"A cross-platform, linkable library implementation of Git that you can use in your application.",C,9954,2469,"ethomson, carlosmn, pks-t, vmg, arrbee",1
raspberrypi,pico-sdk,,C,4165,1054,"kilograham, lurch, Wren6991, peterharperuk, liamfraser",5
builtbybel,Flyby11,Windows 11 Upgrading Assistant,C#,1561,102,"Belim, bovirus, rdavydov, jacobnicked, navjotjsingh",18
Flow-Launcher,Flow.Launcher,🔍 Quick file search & app launcher for Windows with community-made plugins,C#,9542,361,"jjw24, onesounds, taooceros, Jack251970, VictoriousRaptor",43
Tyrrrz,YoutubeDownloader,Downloads videos and playlists from YouTube,C#,11193,1472,"Tyrrrz, dependabot, mustafacagataytulun, derech1e, xBaank",16
dotnet,efcore,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.",C#,14051,3252,"ajcvickers, dotnet-maestro, smitpatel, AndriySvyryd, bricelam",0
actions,runner,The Runner for GitHub Actions 🚀,C#,5251,1045,"TingluoHuang, thboop, fhammerl, ericsciple, dependabot",2
microsoft,semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,C#,24146,3743,"markwallace-microsoft, dependabot, moonbox3, dmytrostruk, shawncal",25
microsoft,Generative-AI-for-beginners-dotnet,"Five lessons, learn how to really apply AI to your .NET Applications",C#,1126,806,"elbruno, PabloNunes, codemillmatt, hyoshioka0128, jt-216",18
NethermindEth,nethermind,A robust execution client for Ethereum node operators.,C#,1384,511,"tkstanczak, LukaszRozmej, matilote, benaadams, asdacap",1
FlaxEngine,FlaxEngine,Flax Engine – multi-platform 3D game engine,C#,6129,592,"mafiesto4, Tryibion, GoaLitiuM, jb-perrier, Menotdan",14
radzenhq,radzen-blazor,"Radzen Blazor is a set of 90+ free native Blazor UI components packed with DataGrid, Scheduler, Charts and robust theming including Material design and FluentUI.",C#,3881,868,"enchev, yordanov, akorchev, glutio, MPapst",4
dnnsoftware,Dnn.Platform,DNN (formerly DotNetNuke) is the leading open source web content management platform (CMS) in the Microsoft ecosystem.,C#,1061,758,"kanm2015, cnurse, valadas, bdukes, zyhfish",0
MudBlazor,MudBlazor,Blazor Component Library based on Material Design principles with an emphasis on ease of use and extensibility,C#,8944,1411,"Garderoben, henon, ScarletKuro, danielchalmers, dependabot",2
DapperLib,Dapper,Dapper - a simple object mapper for .Net,C#,17845,3681,"mgravell, NickCraver, SamSaffron, johandanforth, vosen",1
leiurayer,downkyi,哔哩下载姬downkyi，哔哩哔哩网站视频下载工具，支持批量下载，支持8K、HDR、杜比视界，提供工具箱（音视频提取、去水印等）。,C#,22649,2441,"leiurayer, xisuo67, yaobiao131, wtywtykk, MoguCloud",11
AzureAD,microsoft-identity-web,Helps creating protected web apps and web APIs with Microsoft identity platform and Azure AD B2C,C#,726,229,"jennyf19, jmprieur, dependabot, pmaytak, westin-m",0
Azure,azure-powershell,Microsoft Azure PowerShell,C#,4416,3966,"markcowl, cormacpayne, maddieclayton, MiYanni, huangpf",0
AzureAD,microsoft-authentication-library-for-dotnet,Microsoft Authentication Library (MSAL) for .NET,C#,1438,360,"bgavrilMS, trwalke, gladjohn, MarkZuber, pmaytak",0
microsoft,sbom-tool,The SBOM tool is a highly scalable and enterprise ready tool to create SPDX 2.2 compatible SBOMs for any variety of artifacts.,C#,1764,155,"dependabot, DaveTryon, aasim, sebasgomez238, JamieMagee",0
openiddict,openiddict-core,Flexible and versatile OAuth 2.0/OpenID Connect stack for .NET,C#,4764,554,"kevinchalet, openiddict-bot, henkmollema, gehongyan, damccull",3
louthy,language-ext,C# pure functional programming framework - come and get declarative!,C#,6766,433,"louthy, TysonMN, blakeSaucier, StefanBertels, Jagged",2
dotnet,maui,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",C#,22616,1818,"rmarinho, PureWeen, mattleibow, jsuarezruiz, hartez",4
microsoft,BitNet,Official inference framework for 1-bit LLMs,C++,16486,1186,"potassiummmm, younesbelkada, tsong-ms, dawnmsg, sd983527",730
protocolbuffers,protobuf,Protocol Buffers - Google's data interchange format,C++,67362,15683,"haberman, protobuf-github-bot, protobuf-team-bot, mkruskal-google, xfxyjwf",21
apache,brpc,"brpc is an Industrial-grade RPC framework using C++ Language, which is often used in high performance system such as Search, Storage, Machine learning, Advertisement, Recommendation etc. ""brpc"" means ""better RPC"".",C++,16969,4010,"jamesge, zyearn, chenBright, wwbmmm, TousakaRin",19
lammps,lammps,Public development project of the LAMMPS MD software package,C++,2431,1802,"akohlmey, stanmoore1, rbberger, jrgissing, jtclemm",10
ggml-org,llama.cpp,LLM inference in C/C++,C++,78655,11497,"ggerganov, slaren, JohannesGaessler, ngxson, cebtenzzre",93
hluk,CopyQ,Clipboard manager with advanced features,C++,9599,466,"hluk, weblate, rygwdn, m4r71n, comradekingu",23
WerWolv,ImHex,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",C++,48588,2104,"WerWolv, iTrooz, paxcut, marysaka, xtexx",97
firebase,firebase-ios-sdk,Firebase SDK for Apple App Development,C++,6132,1580,"paulb777, wilhuff, ncooke3, andrewheard, ryanwilson",2
ZLMediaKit,ZLMediaKit,WebRTC/RTSP/RTMP/HTTP/HLS/HTTP-FLV/WebSocket-FLV/HTTP-TS/HTTP-fMP4/WebSocket-TS/WebSocket-fMP4/GB28181/SRT server and client framework based on C++11,C++,14948,3625,"xia-chu, xiongguangjie, wasphin, Dw9, baiyfcu",13
facebook,folly,An open-source C++ library developed and used at Facebook.,C++,29292,5685,"yfeldblum, Orvid, ot, simpkins, andriigrynenko",4
risc0,risc0,RISC Zero is a zero-knowledge verifiable general computing platform based on zk-STARKs and the RISC-V microarchitecture.,C++,1852,538,"flaub, SchmErik, dependabot, nategraf, tzerrell",5
kuzudb,kuzu,Embedded property graph database built for speed. Vector search and full-text search built in. Implements Cypher.,C++,2258,145,"andyfengHKU, acquamarin, ray6080, mewim, benjaminwinger",17
google,highway,"Performance-portable, length-agnostic SIMD with runtime dispatch",C++,4561,344,"copybara-service, jan-wassenberg, copybara-github, johnplatts, dependabot",4
owasp-modsecurity,ModSecurity,"ModSecurity is an open source, cross platform web application firewall (WAF) engine for Apache, IIS and Nginx. It has a robust event-based programming language which provides protection from a range of attacks against web applications and allows for HTTP traffic monitoring, logging and real-time analysis.",C++,8762,1646,"zimmerle, brenosilva, martinhsv, airween, eduar-hte",2
gabime,spdlog,Fast C++ logging library.,C++,25945,4747,"gabime, Gabi120, sylveon, DanielChabrowski, mguludag",12
Tencent,rapidjson,A fast JSON parser/generator for C++ with both SAX/DOM style API,C++,14651,3577,"miloyip, pah, thebusytypist, ylavic, StilesCrisis",4
llvm,torch-mlir,The Torch-MLIR project aims to provide first class support from the PyTorch ecosystem to the MLIR ecosystem.,C++,1504,542,"silvasean, stellaraccident, vivekkhandelwal1, rsuderman, qingyunqu",3
CoatiSoftware,Sourcetrail,Sourcetrail - free and open-source interactive source explorer,C++,15917,1529,"egraether, mlangkabel, st4ll1, wrongway88, jubalh",55
nlohmann,json,JSON for Modern C++,C++,45353,6950,"nlohmann, theodelrieu, falbrechtskirchinger, Teemperor, dependabot",18
worawit,blutter,Flutter Mobile Application Reverse Engineering Tool,C++,1468,209,"worawit, flyingwr, AbhiTheModder, DavidBuchanan314, atuncer",12
MAZHARMIK,Interview_DS_Algo,Super Repository for Coding Interview Preperation,C++,2292,1226,"MAZHARMIK, MAZHAR-TOKOPEDIA",2
google,perfetto,"Performance instrumentation and tracing for Android, Linux and Chrome",C++,3601,435,"LalitMaganti, primiano, chromy, fmayer, stevegolton",27
selfxyz,self,Prove your self,Circom,455,84,"remicolin, 0xturboblitz, motemotech, seshanthS, Nesopie",1
penpot,penpot,Penpot: The open-source design tool for design and code collaboration,Clojure,37713,1941,"niwinz, Alotor, superalex, hirunatan, EvaMarco",25
logseq,logseq,"A privacy-first, open-source platform for knowledge management and collaboration. Download link: http://github.com/logseq/logseq/releases. roadmap: http://trello.com/b/8txSM12G/roadmap",Clojure,36133,2125,"tiensonqin, xyhp915, andelf, sprocketc, pengx17",36
metabase,metabase,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data 📊,Clojure,41690,5519,"camsaul, tlrobinson, agilliland, nemanjaglumac, kdoh",14
cognitect-labs,test-runner,A test runner for clojure.test,Clojure,291,34,"puredanger, levand, mainej, ghadishayban, enaeher",0
nubank,clj-github,A Clojure library for interacting with the github developer API,Clojure,71,4,"philomates, rfhayashi, franpilot, andrepoleza, hlship",0
nubank,matcher-combinators,Library for creating matcher combinator to compare nested data structures,Clojure,484,25,"philomates, dchelimsky, rafaeldff, gilvan-reis, fernando-nubank",0
nubank,state-flow,Integration testing framework using a state monad in the backend for building and composing flows,Clojure,346,15,"dchelimsky, caioaao, philomates, nu-go, ericdallo",0
nubank,workspaces,Live development environment for Clojurescript,Clojure,512,25,"wilkerlucio, felipethome, IsabelaY, ericdallo, dependabot",0
nubank,k8s-api,"Kubernetes client, data driven",Clojure,155,13,"RafaeLeal, franpilot, mateusduboli, alan-ghelardi",0
ros-controls,control_msgs,contains base messages and actions useful for controlling robots,CMake,59,68,"bmagyar, christophfroehlich, github-actions, dependabot, destogl",0
autowarefoundation,autoware_msgs,,CMake,24,58,"kenji-miyake, awf-autoware-bot, pre-commit-ci, xmfcx, isamu-takagi",0
corrosion-rs,corrosion,Marrying Rust and CMake - Easy Rust and C/C++ Integration!,CMake,1231,117,"jschwe, AndrewGaspar, tronical, ogoffart, LeonMatthesKDAB",0
ros-planning,navigation_msgs,Message packages required by the navigation stack,CMake,44,52,"clalancette, wjwwood, stephanemagnenat, SteveMacenski, mikeferguson",0
